serial_number   K0  K1          K2
35612563        0   -1.798E-2   2.992E-6
35612564        0   -1.808E-2   3.025E-6
35612565        0   -1.731E-2   2.886E-6
35612566        0   -1.692E-2   2.830E-6
35612567        0   -1.781E-2   2.976E-6
35612568        0   -1.643E-2   2.738E-6
35612569        0   -1.812E-2   3.019E-6
35612570        0   -2.098E-2   3.515E-6
35612571        0   -1.803E-2   2.993E-6
35612572        0   -1.835E-2   3.057E-6
35612573        0   -1.747E-2   2.917E-6
35612574        0   -1.677E-2   2.795E-6
35612575        0   -1.836E-2   3.075E-6
35612576        0   -1.798E-2   3.014E-6
35612577        0   -1.766E-2   2.932E-6
35612578        0   -2.225E-2   3.690E-6
