Conductivity,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,delta C ,Date,Comment,delta C ,Date ,Comment,,delta C ,Date,Comment,delta C ,Date ,Comment,delta C ,Date,Comment,delta C ,Date ,Comment,delta C,Date,Comment,delta C,Date,Comment,delta C ,Date ,Comment,delta C ,Date ,Comment
,[mS-cm],,,[mS-cm],,,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,dy053,,,dy054,,,dy078,,,ar304,,,msm74,,,dy120,,
3218,,,,-0.006,12/09/2016,CRG,,,,,,,,-0.0036,29/08/2016,CRG,,,,,,,-0.0077,03/12/2020,SJ/LD,-0.0128,04/02/2019,LH,-0.0064,28/01/2021,LH
3276,,,,-0.371,12/09/2016,CRG,,,,,,,,,,,,,,-0.0067,24/01/2019,SJ,-0.006,03/12/2020,SJ/LD,,,,-0.0078,29/01/2021,LH
3279,,,,-0.0019,12/09/2016,CRG,,,,,,,,0.0035,30/08/2016,CRG,,,,,,,,,,,,,,,
3481,,,,-0.0059,12/09/2016,CRG,,,,,,,,-0.0078,29/08/2016,CRG,,,,,,,-0.0029,03/12/2020,SJ/LD,-0.0075,04/02/2019,LH,0.0031,28/01/2021,LH
4463,,,,-0.013,12/09/2016,CRG,,,,,,,,-0.008,30/08/2016,CRG,,,,,,,,,,,,,,,
8077,,,,-0.0027,12/09/2016,CRG,,0.0018,23/08/2016,CRG,,,,0.0053,30/08/2016,CRG,,,,,,,0.0094,24/01/2019,SJ,0.0043,04/02/2019,LH,0.0185,29/01/2021,LH
8078,,,,,,,,-0.0001,24/08/2016,CRG,-0.0105,26/08/2016,CRG,,,,-0.0012,05/10/2016,CRG,,,,0.0046,24/01/2019,SJ,-0.0003,04/02/2019,LH,0.0147,29/01/2021,LH
8079,,,,,,,,0.0044,24/08/2016,CRG,0.0041,26/08/2016,CRG,,,,0.0044,05/10/2016,CRG,,,,0.0063,24/01/2019,SJ,0.0021,04/02/2019,LH,0.0127,29/01/2021,LH
8080,,,,,,,,0.0011,24/08/2016,CRG,-0.0026,26/08/2016,CRG,,,,-0.0041,05/10/2016,CRG,,,,-0.005,24/01/2019,SJ,-0.0089,04/02/2019,LH,0.0013,29/01/2021,LH
8081,,,,,,,,0.0011,24/08/2016,CRG,0.0006,26/08/2016,CRG,,,,-0.0025,05/10/2016,CRG,,,,-0.0024,24/01/2019,SJ,,,,0.0023,29/01/2021,LH
8082,,,,0.0021,12/09/2016,CRG,,,,,,,,0.0057,30/08/2016,CRG,,,,,,,0.0075,24/01/2019,SJ,0.0024,04/02/2019,LH,0.0206,28/01/2021,LH
8443,,,,-0.0014,12/09/2016,CRG,,,,,,,,0,30/08/2016,CRG,,,,,,,-0.0028,24/01/2019,SJ,-0.0074,04/02/2019,LH,0.0044,28/01/2021,LH
9113,,,,,,,,,,,,,,-0.0022,26/07/2017,COD,,,,-0.0031,26/07/2017,COD,0.0031,03/12/2020,SJ/LD,,,,0.0123,02/12/2020,SJ/LD
9140,,,,,,,,,,,,,,-0.0038,26/07/2017,COD,,,,,,,-0.001,03/12/2020,SJ/LD,,,,,19/11/2020,SJ/LD
9141,,,,,,,,,,,,,,-0.0008,08/01/2018,LOH,,,,0.0155,26/07/2017,COD,0.0011,24/01/2019,SJ,,,,,,
9371,,,,,,,,0.0061,23/08/2016,CRG,0.0022,23/09/2016,CRG,,,,0.006,05/10/2016,CRG,,,,0.0071,24/01/2019,SJ,,,,0.0208,29/01/2021,LH
