Temperature,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,Delta T,Date,Comment,Delta T,Date ,Comment,,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment
,[K],,,[K],,,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,DY053,,,DY054,,,DY078,,,AR304,,,MSM74,,,DY120,,
3218,,,,-0.0021,12/09/2016,CRG,,,,,,,,-0.002,29/08/2016,CRG,,,,,,,-0.0012,03/12/2020,SJ/LD,-0.0007,04/02/2019,LH,-0.0007,02/12/2020,SJ/LD
3276,,,,0.0006,12/09/2016,LH,,,,,,,,,,,,,,-0.001,24/01/2019,SJ,0.00011,03/12/2020,SJ/LD,,,,0.0012,15/12/2020,SJ/LD
3279,,,,0.0011,12/09/2016,CRG,,,,,,,,0.0008,30/08/2016,CRG,,,,,,,,,,,,,,,
3481,,,,-0.0003,12/09/2016,CRG,,,,,,,,-0.0002,29/08/2016,CRG,,,,,,,0.0004,03/12/2020,SJ/LD,0.0008,04/02/2019,LH,0.0009,02/12/2020,SJ/LD
4463,,,,-0.0027,12/09/2016,CRG,,,,,,,,-0.0024,30/08/2016,CRG,,,,,,,,,,,,,,,
7923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,01/02/2021,LD
7924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,01/02/2021,LD
8077,,,,-0.0014,12/09/2016,CRG,,-0.0013,24/08/2016,CRG,,,,-0.0014,30/08/2016,CRG,,,,,,,-0.0006,24/01/2019,SJ,-0.0001,04/02/2019,LH,0.0001,15/12/2020,SJ/LD
8078,,,,,,,,-0.0017,23/08/2016,CRG,-0.0047,26/08/2016,CRG,,,,-0.0008,05/10/2016,CRG,,,,-0.0003,24/01/2019,SJ,0.0004,04/02/2019,LH,0.0006,15/12/2020,SJ/LD
8079,,,,,,,,-0.0014,24/08/2016,CRG,-0.0006,26/08/2016,CRG,,,,-0.0011,05/10/2016,CRG,,,,-0.0008,24/01/2019,SJ,-0.0001,04/02/2019,LH,0.0001,15/12/2020,SJ/LD
8080,,,,,,,,-0.0016,24/08/2016,CRG,-0.0021,26/08/2016,CRG,,,,-0.0009,05/10/2016,CRG,,,,-0.0009,24/01/2019,SJ,0,04/02/2019,LH,0.0006,15/12/2020,SJ/LD
8081,,,,,,,,-0.0013,24/08/2016,CRG,-0.0009,26/08/2016,CRG,,,,-0.0012,05/10/2016,CRG,,,,-0.0012,24/01/2019,SJ,,,,0.0003,15/12/2020,SJ/LD
8082,,,,-0.0026,12/09/2016,CRG,,,,,,,,-0.0032,30/08/2016,CRG,,,,,,,-0.0027,24/01/2019,SJ,-0.002,04/02/2019,LH,-0.002,02/02/2021,LH
8443,,,,-0.0015,12/09/2016,CRG,,,,,,,,-0.002,30/08/2016,CRG,,,,,,,-0.0009,24/01/2019,SJ,-0.0005,04/02/2019,LH,-0.0006,02/02/2021,LH
