Mooring            = cast33
Latitude           =  56 30.5 N
Longitude          =  9 18.12 W
WaterDepth         = 3000
StartDate          = 2022/07/23
StartTime          = 11:45
EndDate            = 2022/07/23 
EndTime            = 14:30
Columns            = z:serialnumber:instrument:deployment
500	7923	337 1
750	7924	337	1
1600	11465	337	1
1050	9113	337	1
50	10560	337	1
100	11289	337	1
200	11288	337	1
300	11110	337	1
700	11320	337	1
50	9391	337	1
100	14353	337	1
200	14354	337	1
500	11109	337	1
700	11111	337	1
900	9372	337	1
1200	3218	337	1
1500	11140	337	1
1900	10562	337	1
2300	10577	337	1
2800	9377	337	1
