Cruise     = OSNAP
deployment = 7
Mooring    = rteb1_07_2022
Mooring    = rtwb1_07_2022
Mooring    = rtwb2_07_2022
Mooring    = ib3_03_2022
Mooring    = ib4_03_2022
Mooring    = ib5_03_2022
Mooring    = DM
Columns    = z:instrument:serialnumber
     48      337     3212
     95      324    20957
     96      324    20959
    103      337     3213
    197      337     3219
    347      337     6115
    494      337     3207
    502      370    11990
    699      337     3264
    922      337     6123
    925      370    11992
     60      337     3221
     49      335    12906
     94      324    20960
     95      324    24589
    114      337    11330
    207      337     3224
    357      337     3253
    349      335    12908
    505      337     3248
    499      335    12962
    707      337    11334
    700      335    13000
    907      337     9375
   1209      337     9390
   1508      337     9396
   1905      337    11335
   2297      370    11979
   2307      337     3222
   2796      370    12047
   2805      337    14365
     87      337    14364
     91      324    24588
     92      324    24587
    139      337    11341
    231      337    11342
    381      337    10560
    529      337    11110
    726      337    11140
    928      337    11322
   1220      337    11327
   1496      370    11026
   1519      337    11139
   1913      337    11137
   2297      370    11028
   2308      337    10576
   2796      370    11029
   2800      337    11338
     51      337     4608
     52      375     2002
     53      335    14149
    102      370    11034
    103      337     4609
    244      370     8364
    250      337     4610
    494      370     6242
    500      335    21317
	500		 337	 9140
    749      337    13019
    750      335    15254
    950      335    24104
    997      370     9822
   1003      337	10578
   1248      337    10579
   1350      370     9853
   1498      337    13021
   1648      337    14368
   1763      337    13022
   1768		 370	 6273
50	337	11321
102	370	 8120
107	337	11324
248	337	11325
494	370	 9881
500	337	11336
751	337	11340
996	370	 9213
1002	337	3254
1250	337	3256
1350	370	11997
1500	337	3257
1569	370	9874
1575	337	3276
1002	370	6276
1008	337	7290
1351	370	6534
1576	337	3244
1766	370 6723
1785	337	3231
51      337	4608
52      375	2002
53	335	14149
102	370	11034
103	337	4609
244	370	8364
250	337	4610
494	370	6242
500	335	21317
500	337	9140
749	337	13019
750	335	15254
950	335	24104
997	370	9822
1003	337	10578
1248	337	10579
1350    370	9853
1498    337	13021
1648    337	14368
1763    337	13022
1768	370	6273
50	337	11321
102	370	8120
107	337	11324
248	337	11325
494	370	9881
500	337	11336
751	337	11340
996	370	9213
1002	337	3254
1250	337	3256
1350	370	11997
1500	337	3257
1569	370	9874
1575	337	3276
1002	370	6276
1008	337	7290
1351	370	6534
1576	337	3244
1766	370	6723
1785	337	3231
949 	337	9377
1024	337	11111
