CTD number,cast,timeS,prDM,depSM,t090C,t190C,c0S/m,c1S/m,sal00,sal11,sbeox0V,sbeox0Mm/L,OxygenSensor_sn1417,AltimeterSensor_sn60360,FluoroWetlabECO_AFL_FL_Sensor_sn940,TurbidityMeter_sn940,WET_LabsCStar_sn1098,OxygenSensor_sn1416,FluoroWetlabECO_AFL_FL_Sensor_sn5497,oxy0dV/dt,potemp090C,potemp190C,sigma-theta00,sigma-theta11,svel00,svel11,sbeox0PS,sbeox1Mm/L,sbeox1PS,prDM_QC,CTDvel,id
TC24015_015,SS,0.229,0.501,0.502,15.9339,16.0266,0.089199,0.103593,0.538050337,0.627352835,2.639,304.6278072,2.6389,4.9816,0.0699,4.9426,2.5668,,,-1.94E-07,15.93384238,16.02654194,-0.629187458,-0.575488918,1469.8276,1470.249932,98.94190517,303.8308914,98.9308358,0,3.88E-06,0
TC24015_015,SS,0.729,0.491,0.487,15.934,16.0248,0.087127,0.100805,0.525054566,0.60978722,2.639,304.6508313,2.6396,4.9817,0.0698,4.9426,2.5671,,,0,15.93394353,16.02474311,-0.639227706,-0.58873349,1469.812285,1470.22274,98.94178255,303.8751921,98.93093923,0,-0.02,0
TC24015_015,SS,1.229,0.477,0.472,15.9339,16.0233,0.085509,0.099279,0.514920722,0.600191569,2.639,304.6697371,2.6392,4.9817,0.0692,4.9426,2.5677,,,0,15.93384515,16.02324475,-0.64702846,-0.595884581,1469.799633,1470.205985,98.94162204,303.9025671,98.93094521,0,-0.028,0
TC24015_015,SS,1.729,0.462,0.451,15.9332,16.0225,0.084935,0.097803,0.511336569,0.590908353,2.6393,304.8432167,2.6387,4.9817,0.0686,4.9428,2.568,,,0.0006,15.93314688,16.02244649,-0.649679513,-0.602910028,1469.792725,1470.191967,98.99433379,304.0863004,98.98350135,0,-0.03,0
TC24015_015,SS,2.229,0.462,0.46,15.9325,16.0224,0.085548,0.095805,0.515182591,0.578340274,2.6394,304.7752272,2.639,4.9817,0.0702,4.9426,2.5679,,,0.0002,15.93244688,16.0223465,-0.646598799,-0.612582767,1469.794922,1470.176665,98.97309695,304.045012,98.96230184,0,0,0
TC24015_015,SS,2.729,0.47,0.467,15.932,16.0223,0.086797,0.093216,0.523012244,0.562076407,2.6393,304.6702889,2.639,4.9816,0.0716,4.9426,2.5678,,,-0.0002,15.93194596,16.02224558,-0.640477758,-0.625105381,1469.802681,1470.15709,98.94267493,303.9823933,98.93194347,0,0.016,0
TC24015_015,SS,3.229,0.487,0.482,15.9322,16.0225,0.087694,0.09117,0.528632043,0.549237921,2.6391,304.5907052,2.639,4.9817,0.0713,4.9426,2.568,,,-0.0004,15.932144,16.02244362,-0.636175254,-0.635036755,1469.810341,1470.142758,98.92062646,303.9372181,98.90995187,0,0.034,0
TC24015_015,SS,3.729,0.506,0.503,15.9328,16.023,0.087643,0.091103,0.528304416,0.54881104,2.6394,304.8304609,2.6393,4.9816,0.0694,4.9426,2.5677,,,0.0006,15.93274181,16.02294142,-0.636525308,-0.6354475,1469.812308,1470.144262,98.99955436,304.1764962,98.98861205,0,0.038,0
TC24015_015,SS,4.229,0.521,0.509,15.9336,16.0234,0.086896,0.091427,0.523611833,0.550836985,2.639,304.4975636,2.6394,4.9816,0.0697,4.9426,2.5694,,,-0.0008,15.93354009,16.02333968,-0.640274842,-0.633950672,1469.809689,1470.148282,98.89029958,303.8358115,98.87979642,0,0.03,0
TC24015_015,SS,4.729,0.525,0.524,15.9343,16.024,0.086504,0.093209,0.52114677,0.562008743,2.6394,304.8741214,2.6393,4.9817,0.0693,4.9426,2.5697,,,0.0008,15.93423962,16.02393921,-0.642290168,-0.625435214,1469.809204,1470.163695,99.01258078,304.1857296,99.00164487,0,0.008,0
TC24015_015,SS,5.229,0.526,0.522,15.9348,16.0243,0.087055,0.096452,0.524592849,0.582381441,2.6394,304.7045592,2.6391,4.9817,0.0691,4.9426,2.5704,,,0,15.93473951,16.02423908,-0.63971347,-0.609777609,1469.815036,1470.188989,98.96063422,303.9873513,98.94994411,0,0.002,0
TC24015_015,SS,5.729,0.514,0.519,15.9351,16.0245,0.087329,0.098972,0.526306358,0.598239792,2.6389,304.4278799,2.6394,4.9817,0.0708,4.9426,2.5703,,,-0.001,15.93504088,16.02444046,-0.63844087,-0.597585303,1469.817907,1470.208351,98.87243402,303.6867607,98.86203463,0,-0.024,0
TC24015_015,SS,6.229,0.494,0.486,15.9353,16.0242,0.086631,0.09862,0.521929895,0.596027387,2.639,304.687791,2.639,4.9817,0.0708,4.9426,2.5709,,,0.0002,15.93524319,16.02414278,-0.641849537,-0.599241983,1469.813046,1470.20437,98.95463762,303.9444548,98.94396663,0,-0.04,0
TC24015_015,SS,6.729,0.473,0.466,15.9351,16.0237,0.085574,0.097494,0.515312617,0.588946098,2.6389,304.6064554,2.6394,4.9816,0.0698,4.9427,2.5703,,,-0.0002,15.93504561,16.02364521,-0.646921636,-0.604619351,1469.804131,1470.193897,98.9238258,303.8665313,98.91330049,0,-0.042,0
TC24015_015,SS,7.229,0.457,0.451,15.9348,16.0229,0.084717,0.096255,0.509952449,0.581162886,2.6388,304.6035614,2.6394,4.9816,0.0699,4.9426,2.5701,,,-0.0002,15.93474745,16.02284708,-0.651007806,-0.610488762,1469.796454,1470.181647,98.91903547,303.8715034,98.9085696,0,-0.032,0
TC24015_015,SS,7.729,0.452,0.452,15.9344,16.0224,0.084253,0.094611,0.507054474,0.570835978,2.6388,304.6514196,2.6389,4.9816,0.0699,4.9426,2.5714,,,0,15.93434803,16.02234766,-0.653178256,-0.618368523,1469.791551,1470.167567,98.93199596,303.9334603,98.92148725,0,-0.01,0
TC24015_015,SS,8.229,0.461,0.449,15.9341,16.022,0.084024,0.092775,0.505625722,0.559312564,2.6388,304.6564553,2.639,4.9816,0.0698,4.9426,2.5708,,,0,15.93404699,16.02194663,-0.65423139,-0.627187341,1469.78897,1470.15263,98.93214281,303.9577831,98.92164566,0,0.018,0
TC24015_015,SS,8.729,0.479,0.476,15.9341,16.0219,0.083828,0.09184,0.504399791,0.553447553,2.6392,304.8762476,2.6389,4.9817,0.0696,4.9426,2.5695,,,0.0008,15.93404493,16.02184455,-0.655176748,-0.631692722,1469.787801,1470.145599,99.00277949,304.1856668,98.99207533,0,0.036,0
TC24015_015,SS,9.229,0.507,0.498,15.9342,16.0219,0.083506,0.091783,0.502384896,0.553089841,2.6392,304.7205355,2.6388,4.9817,0.0696,4.9426,2.57,,,0,15.93414171,16.02184131,-0.656746825,-0.631968002,1469.786196,1470.145629,98.95121387,304.0285774,98.94073841,0,0.056,0
TC24015_015,SS,9.729,0.531,0.529,15.9346,16.022,0.083119,0.09247,0.499960509,0.557398106,2.6391,304.6689884,2.6388,4.9816,0.0699,4.9426,2.5702,,,-0.0002,15.93453895,16.02193852,-0.658681724,-0.628662109,1469.785061,1470.151492,98.93385798,303.9669301,98.92347293,0,0.048,0
TC24015_015,SS,10.229,0.546,0.541,15.9349,16.0221,0.083186,0.094291,0.500375558,0.568829151,2.6393,304.8151143,2.6388,4.9817,0.07,4.9426,2.5702,,,0.0004,15.93483722,16.02203678,-0.658410105,-0.619864785,1469.786824,1470.165689,98.98218849,304.0932665,98.97166482,0,0.03,0
