* Sea-Bird SBE37 Data File:
* FileName = C:\CE25007_recovery_data\5510_data.asc
* Software Version 1.59
* Temperature SN = 5510
* Conductivity SN = 5510
* System UpLoad Time = May 13 2025 17:59:09
* ds
* SBE37-SM V 2.6b  SERIAL NO. 5510    13 May 2025  17:59:55
* not logging: received stop command
* sample interval = 600 seconds
* samplenumber = 46303, free = 144347
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump not installed
* temperature = 18.65 deg C

* S>
* SBE37-SM V 2.6b  5510
* temperature:  18-apr-24
*     TA0 = 5.292380e-05
*     TA1 = 2.620106e-04
*     TA2 = -1.427135e-06
*     TA3 = 1.264616e-07
* conductivity:  18-apr-24
*     G = -1.004675e+00
*     H = 1.402256e-01
*     I = -1.306509e-05
*     J = 2.309210e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = 4.302277e-05
* pressure S/N 227853, range = 10000 psia:  25-mar-24
*     PA0 = 9.378762e+00
*     PA1 = 4.360928e-01
*     PA2 = -4.632869e-08
*     PTCA0 = 6.665435e+01
*     PTCA1 = 1.036688e+00
*     PTCA2 = -1.136980e-03
*     PTCSB0 = 2.801100e+01
*     PTCSB1 = 3.466667e-03
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  18-apr-24
*     RTCA0 = 9.999760e-01
*     RTCA1 = 1.622269e-06
*     RTCA2 = -3.257723e-08

* S> 
*END*
start time =  26 Jun 2024  00:00:01
sample interval = 600 seconds
start sample number = 1
 10.9448, 3.96621,  504.210,  35.4486, 26 Jun 2024, 00:00:01
 10.9643, 3.96851,  504.952,  35.4525, 26 Jun 2024, 00:10:01
 10.9568, 3.96786,  505.570,  35.4530, 26 Jun 2024, 00:20:01
 10.9764, 3.96953,  506.311,  35.4504, 26 Jun 2024, 00:30:01
 10.9737, 3.96969,  506.805,  35.4544, 26 Jun 2024, 00:40:01
 10.9828, 3.97055,  507.176,  35.4541, 26 Jun 2024, 00:50:01
 10.9540, 3.96733,  507.547,  35.4495, 26 Jun 2024, 01:00:01
 10.9248, 3.96413,  507.547,  35.4456, 26 Jun 2024, 01:10:01
 10.9246, 3.96390,  507.547,  35.4435, 26 Jun 2024, 01:20:01
 10.9211, 3.96328,  507.547,  35.4407, 26 Jun 2024, 01:30:01
 10.8900, 3.95978,  507.547,  35.4357, 26 Jun 2024, 01:40:01
 10.8588, 3.95608,  507.547,  35.4287, 26 Jun 2024, 01:50:01
 10.8753, 3.95750,  507.176,  35.4272, 26 Jun 2024, 02:00:01
 10.8958, 3.96049,  506.682,  35.4376, 26 Jun 2024, 02:10:01
 10.8846, 3.95899,  506.311,  35.4335, 26 Jun 2024, 02:20:00
 10.8797, 3.95853,  505.817,  35.4339, 26 Jun 2024, 02:30:00
 10.8825, 3.95860,  505.199,  35.4321, 26 Jun 2024, 02:40:00
 10.9017, 3.96092,  504.334,  35.4372, 26 Jun 2024, 02:50:00
 10.9491, 3.96605,  503.345,  35.4433, 26 Jun 2024, 03:00:00
 10.9825, 3.97025,  502.356,  35.4535, 26 Jun 2024, 03:10:00
 10.9878, 3.97085,  501.368,  35.4548, 26 Jun 2024, 03:20:00
 10.9806, 3.97006,  500.626,  35.4542, 26 Jun 2024, 03:30:00
 10.9602, 3.96858,  499.761,  35.4594, 26 Jun 2024, 03:40:00
 10.9476, 3.96616,  498.896,  35.4478, 26 Jun 2024, 03:50:00
 10.9310, 3.96408,  498.154,  35.4433, 26 Jun 2024, 04:00:00
 10.9258, 3.96363,  497.660,  35.4441, 26 Jun 2024, 04:10:00
 10.9167, 3.96303,  497.166,  35.4470, 26 Jun 2024, 04:20:00
 10.9114, 3.96224,  496.918,  35.4444, 26 Jun 2024, 04:30:00
