* Sea-Bird SBE37 Data File:
* FileName = C:\Users\edaly\Documents\Cruise_material_data_misc\TC24015\ODISSEA_Deployment\TC24015_5509_predip_data.asc
* Software Version 1.59
* Temperature SN = 5509
* Conductivity SN = 5509
* System UpLoad Time = Jun 24 2024 12:00:50
** TC24015 Pre calibration dip data from sn5509
* ds
* SBE37-SM V 2.6b  SERIAL NO. 5509    24 Jun 2024  10:57:03
* not logging: received stop command
* sample interval = 10 seconds
* samplenumber = 1182, free = 189468
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 0 seconds
* internal pump not installed
* temperature = 15.86 deg C

* S>
* SBE37-SM V 2.6b  5509
* temperature:  26-mar-24
*     TA0 = -4.991697e-05
*     TA1 = 2.779801e-04
*     TA2 = -2.559322e-06
*     TA3 = 1.547837e-07
* conductivity:  26-mar-24
*     G = -9.993596e-01
*     H = 1.403798e-01
*     I = -9.615057e-05
*     J = 3.082059e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = 4.235088e-05
* pressure S/N 227852, range = 10000 psia:  25-mar-24
*     PA0 = 2.160976e+01
*     PA1 = 4.541996e-01
*     PA2 = -3.668017e-08
*     PTCA0 = -2.878414e+01
*     PTCA1 = 2.050492e+00
*     PTCA2 = 1.944853e-03
*     PTCSB0 = 2.678200e+01
*     PTCSB1 = 4.600000e-03
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  26-mar-24
*     RTCA0 = 9.999873e-01
*     RTCA1 = 1.814013e-06
*     RTCA2 = -3.527169e-08

* S> 
*END*
start time =  24 Jun 2024  07:36:20
sample interval = 10 seconds
start sample number = 1
 17.3107, 0.00006,    0.460,   0.0088, 24 Jun 2024, 07:36:20
 17.3104, 0.00006,    0.460,   0.0088, 24 Jun 2024, 07:36:31
 17.3144, 0.00005,    0.460,   0.0088, 24 Jun 2024, 07:36:41
 17.3189, 0.00005,    0.336,   0.0088, 24 Jun 2024, 07:36:51
 17.3239, 0.00006,    0.213,   0.0088, 24 Jun 2024, 07:37:01
 17.3270, 0.00006,    0.213,   0.0088, 24 Jun 2024, 07:37:11
 17.3230, 0.00005,    0.089,   0.0088, 24 Jun 2024, 07:37:21
 17.3218, 0.00005,    0.089,   0.0088, 24 Jun 2024, 07:37:31
 17.3236, 0.00005,   -0.035,   0.0088, 24 Jun 2024, 07:37:41
 17.3296, 0.00005,   -0.035,   0.0088, 24 Jun 2024, 07:37:51
 17.3311, 0.00005,   -0.035,   0.0088, 24 Jun 2024, 07:38:01
 17.3370, 0.00005,   -0.035,   0.0088, 24 Jun 2024, 07:38:11
 17.3379, 0.00006,   -0.035,   0.0088, 24 Jun 2024, 07:38:21
 17.3390, 0.00006,   -0.035,   0.0088, 24 Jun 2024, 07:38:31
 17.3365, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:38:41
 17.3446, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:38:51
 17.3354, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:39:01
 17.3293, 0.00006,   -0.158,   0.0088, 24 Jun 2024, 07:39:11
 17.3306, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:39:21
 17.3318, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:39:31
 17.3238, 0.00006,   -0.158,   0.0088, 24 Jun 2024, 07:39:41
 17.3232, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:39:51
 17.3160, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:01
 17.3236, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:11
 17.3309, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:21
 17.3337, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:31
 17.3342, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:41
 17.3441, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:40:51
 17.3479, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:41:01
 17.3538, 0.00006,   -0.282,   0.0088, 24 Jun 2024, 07:41:11
 17.3648, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:41:21
 17.3686, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:41:31
 17.3659, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:41:41
 17.3738, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:41:51
 17.3382, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:42:01
 17.3127, 0.00005,   -0.405,   0.0088, 24 Jun 2024, 07:42:11
 17.3156, 0.00005,   -0.405,   0.0088, 24 Jun 2024, 07:42:21
 17.3302, 0.00005,   -0.158,   0.0088, 24 Jun 2024, 07:42:31
 17.3777, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:42:41
 17.3612, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:42:51
 17.3180, 0.00005,   -0.405,   0.0088, 24 Jun 2024, 07:43:01
 17.3139, 0.00005,   -0.405,   0.0088, 24 Jun 2024, 07:43:11
 17.3193, 0.00005,   -0.405,   0.0088, 24 Jun 2024, 07:43:21
 17.3162, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:43:31
 17.3159, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:43:41
 17.3321, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:43:51
 17.3326, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:44:01
 17.3294, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:44:11
 17.3338, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:44:21
 17.3381, 0.00005,   -0.282,   0.0088, 24 Jun 2024, 07:44:31
